Entity,Code,Year,Official development assistance (ODA) and private grants by donor - Net disbursements,1132327-annotations
Adaptation Fund,,2011,48525076,
Adaptation Fund,,2012,25154208,
Adaptation Fund,,2013,7088941,
Adaptation Fund,,2014,42076940,
Adaptation Fund,,2015,50092600,
Adaptation Fund,,2016,45970164,
Adaptation Fund,,2017,35162336,
Adaptation Fund,,2018,53916760,
Adaptation Fund,,2019,71025580,
Adaptation Fund,,2020,82759820,
Adaptation Fund,,2021,64599692,
Adaptation Fund,,2022,70945280,
Adaptation Fund,,2023,112609000,
Adaptation Fund,,2024,66514840,
African Development Bank,,2001,111965140,
African Development Bank,,2002,152738370,
African Development Bank,,2003,116594060,
African Development Bank,,2004,190345460,
African Development Bank,,2005,205321090,
African Development Bank,,2006,218591170,
African Development Bank,,2007,196353580,
African Development Bank,,2008,188530740,
African Development Bank,,2009,184465140,
African Development Bank,,2010,139167570,
African Development Bank,,2011,129007130,
African Development Bank,,2012,120721920,
African Development Bank,,2013,149014030,
African Development Bank,,2014,143065500,
African Development Bank,,2015,142531780,
African Development Bank,,2016,186638910,
African Development Bank,,2017,136605100,
African Development Bank,,2018,107708560,
African Development Bank,,2019,14650066,
African Development Bank,,2020,7415864,
African Development Bank,,2021,9150927,
African Development Bank,,2022,5938928,
African Development Bank,,2023,8951578,
African Development Bank,,2024,9001417,
"African Development Bank, Total",,1965,-462570,
"African Development Bank, Total",,1966,-286197800,
"African Development Bank, Total",,1967,-280386880,
"African Development Bank, Total",,1975,15584397,
"African Development Bank, Total",,1976,41498000,
"African Development Bank, Total",,1977,94324760,
"African Development Bank, Total",,1978,123265896,
"African Development Bank, Total",,1979,151057170,
"African Development Bank, Total",,1980,242434240,
"African Development Bank, Total",,1981,235031710,
"African Development Bank, Total",,1982,325283800,
"African Development Bank, Total",,1983,418141000,
"African Development Bank, Total",,1984,300206140,
"African Development Bank, Total",,1985,565934500,
"African Development Bank, Total",,1986,600827650,
"African Development Bank, Total",,1987,712223000,
"African Development Bank, Total",,1988,622248260,
"African Development Bank, Total",,1989,866800600,
"African Development Bank, Total",,1990,967712060,
"African Development Bank, Total",,1991,965823100,
"African Development Bank, Total",,1992,992398400,
"African Development Bank, Total",,1993,1023375300,
"African Development Bank, Total",,1994,840810750,
"African Development Bank, Total",,1995,724712100,
"African Development Bank, Total",,1996,805027260,
"African Development Bank, Total",,1997,851511940,
"African Development Bank, Total",,1998,845641700,
"African Development Bank, Total",,1999,663676300,
"African Development Bank, Total",,2000,450897820,
"African Development Bank, Total",,2001,778864300,
"African Development Bank, Total",,2002,1101986400,
"African Development Bank, Total",,2003,779187600,
"African Development Bank, Total",,2004,1358514200,
"African Development Bank, Total",,2005,1257855700,
"African Development Bank, Total",,2006,2607972600,
"African Development Bank, Total",,2007,1586556500,
"African Development Bank, Total",,2008,1917850000,
"African Development Bank, Total",,2009,3033084700,
"African Development Bank, Total",,2010,1997672100,
"African Development Bank, Total",,2011,2340652000,
"African Development Bank, Total",,2012,2588419000,
"African Development Bank, Total",,2013,2418605000,
"African Development Bank, Total",,2014,2125332000,
"African Development Bank, Total",,2015,2513949400,
"African Development Bank, Total",,2016,2548231700,
"African Development Bank, Total",,2017,2903135000,
"African Development Bank, Total",,2018,2271122000,
"African Development Bank, Total",,2019,1835591600,
"African Development Bank, Total",,2020,2612188200,
"African Development Bank, Total",,2021,2013029500,
"African Development Bank, Total",,2022,931325400,
"African Development Bank, Total",,2023,1272137500,
"African Development Bank, Total",,2024,1183876900,
African Development Fund,,1965,-462570,
African Development Fund,,1966,-286197800,
African Development Fund,,1967,-280386880,
African Development Fund,,1975,15584397,
African Development Fund,,1976,41498000,
African Development Fund,,1977,94324760,
African Development Fund,,1978,123265896,
African Development Fund,,1979,151057170,
African Development Fund,,1980,242434240,
African Development Fund,,1981,235031710,
African Development Fund,,1982,325283800,
African Development Fund,,1983,418141000,
African Development Fund,,1984,300206140,
African Development Fund,,1985,565934500,
African Development Fund,,1986,600827650,
African Development Fund,,1987,712223000,
African Development Fund,,1988,622248260,
African Development Fund,,1989,866800600,
African Development Fund,,1990,967712060,
African Development Fund,,1991,965823100,
African Development Fund,,1992,992398400,
African Development Fund,,1993,1023375300,
African Development Fund,,1994,840810750,
African Development Fund,,1995,724712100,
African Development Fund,,1996,805027260,
African Development Fund,,1997,851511940,
African Development Fund,,1998,845641700,
African Development Fund,,1999,663676300,
African Development Fund,,2000,450897820,
African Development Fund,,2001,666899200,
African Development Fund,,2002,949248060,
African Development Fund,,2003,662593540,
African Development Fund,,2004,1168168700,
African Development Fund,,2005,1052534660,
African Development Fund,,2006,2389381400,
African Development Fund,,2007,1390203000,
African Development Fund,,2008,1729319200,
African Development Fund,,2009,2848619500,
African Development Fund,,2010,1858504600,
African Development Fund,,2011,2211645000,
African Development Fund,,2012,2467697200,
African Development Fund,,2013,2269591000,
African Development Fund,,2014,1982266600,
African Development Fund,,2015,2371417600,
African Development Fund,,2016,2361592800,
African Development Fund,,2017,2766530000,
African Development Fund,,2018,2163413200,
African Development Fund,,2019,1820941600,
African Development Fund,,2020,2604772400,
African Development Fund,,2021,2003878700,
African Development Fund,,2022,925386500,
African Development Fund,,2023,1263185800,
African Development Fund,,2024,1174875400,
Arab Bank for Economic Development in Africa,,1976,8572358,
Arab Bank for Economic Development in Africa,,1977,27349874,
Arab Bank for Economic Development in Africa,,1978,90794470,
Arab Bank for Economic Development in Africa,,1979,114679360,
Arab Bank for Economic Development in Africa,,1980,90966610,
Arab Bank for Economic Development in Africa,,1981,72874620,
Arab Bank for Economic Development in Africa,,1982,80842130,
Arab Bank for Economic Development in Africa,,1983,73214424,
Arab Bank for Economic Development in Africa,,1984,45776784,
Arab Bank for Economic Development in Africa,,1985,25593270,
Arab Bank for Economic Development in Africa,,1986,65547250,
Arab Bank for Economic Development in Africa,,1987,15597933,
Arab Bank for Economic Development in Africa,,1988,-10572138,
Arab Bank for Economic Development in Africa,,1989,-21400312,
Arab Bank for Economic Development in Africa,,1990,-17026956,
Arab Bank for Economic Development in Africa,,1991,26115396,
Arab Bank for Economic Development in Africa,,1992,20780146,
Arab Bank for Economic Development in Africa,,1993,6144870,
Arab Bank for Economic Development in Africa,,1994,1654719,
Arab Bank for Economic Development in Africa,,1999,33366128,
Arab Bank for Economic Development in Africa,,2000,19771346,
Arab Bank for Economic Development in Africa,,2001,49744580,
Arab Bank for Economic Development in Africa,,2004,61746024,
Arab Bank for Economic Development in Africa,,2005,66607980,
Arab Bank for Economic Development in Africa,,2006,85656344,
Arab Bank for Economic Development in Africa,,2007,117836660,
Arab Bank for Economic Development in Africa,,2008,109132000,
Arab Bank for Economic Development in Africa,,2009,96634050,
Arab Bank for Economic Development in Africa,,2010,82843300,
Arab Bank for Economic Development in Africa,,2011,48184504,
Arab Bank for Economic Development in Africa,,2012,75258090,
Arab Bank for Economic Development in Africa,,2013,84659384,
Arab Bank for Economic Development in Africa,,2014,58111830,
Arab Bank for Economic Development in Africa,,2015,81783110,
Arab Fund,,1974,30221514,
Arab Fund,,1975,162569020,
Arab Fund,,1976,247896980,
Arab Fund,,1977,311831650,
Arab Fund,,1978,573504830,
Arab Fund,,1979,291132380,
Arab Fund,,1980,184159920,
Arab Fund,,1981,231293230,
Arab Fund,,1982,164131600,
Arab Fund,,1983,171098620,
Arab Fund,,1984,100859980,
Arab Fund,,1985,109673890,
Arab Fund,,1986,160307700,
Arab Fund,,1987,147112510,
Arab Fund,,1988,148524320,
Arab Fund,,1989,285314020,
Arab Fund,,1990,139473400,
Arab Fund,,1991,213789020,
Arab Fund,,1992,358881920,
Arab Fund,,1993,304815420,
Arab Fund,,1994,381013100,
Arab Fund,,2008,650471400,
Arab Fund,,2009,294358800,
Arab Fund,,2010,521570020,
Arab Fund,,2011,310288860,
Arab Fund,,2012,319707040,
Arab Fund,,2013,402345380,
Arab Fund,,2014,372745470,
Arab Fund,,2015,63020440,
Arab Fund,,2016,55621260,
Arab Fund,,2017,6402386,
Arab Fund,,2018,154247460,
Arab Fund,,2019,370369100,
Arab Fund,,2020,426633470,
Arab Fund,,2021,335506900,
Arab Fund,,2022,-46250268,
Arab Fund,,2023,-57044772,
Arab Fund,,2024,28761836,
Arcadia,,2015,5759187,
Arcadia,,2016,21468572,
Arcadia,,2017,54511784,
Arcadia,,2018,59970012,
Arcadia,,2019,63723468,
Arcadia,,2020,19851948,
Arcadia,,2021,55600684,
Arcadia,,2022,41259196,
Arcadia,,2023,121391500,
Arcadia,,2024,10702114,
Arcus Foundation,,2015,17932490,
Arcus Foundation,,2016,19735494,
Arcus Foundation,,2017,18878544,
Arcus Foundation,,2018,19021274,
Arcus Foundation,,2019,17760528,
Arcus Foundation,,2020,22286016,
Arcus Foundation,,2021,21163132,
Arcus Foundation,,2022,21730090,
Arcus Foundation,,2023,18926440,
Arcus Foundation,,2024,20325408,
Asian Development Bank,,2012,755546240,
Asian Development Bank,,2013,1045554300,
Asian Development Bank,,2014,1537781200,
Asian Development Bank,,2015,1665637500,
Asian Development Bank,,2016,1599233200,
Asian Development Bank,,2017,1260226000,
Asian Development Bank,,2018,770375700,
Asian Development Bank,,2019,1733913500,
Asian Development Bank,,2020,3039329300,
Asian Development Bank,,2021,1482792800,
Asian Development Bank,,2022,1609695100,
Asian Development Bank,,2023,1209152300,
Asian Development Bank,,2024,1261232500,
Asian Infrastructure Investment Bank,,2018,243982,
Asian Infrastructure Investment Bank,,2019,1843542,
Asian Infrastructure Investment Bank,,2020,2689288,
Asian Infrastructure Investment Bank,,2021,2034687,
Asian Infrastructure Investment Bank,,2022,4407643,
Asian Infrastructure Investment Bank,,2023,6903767,
Asian Infrastructure Investment Bank,,2024,4079.9998,
Australia,AUS,1960,669527600,
Australia,AUS,1961,797958200,
Australia,AUS,1962,824214800,
Australia,AUS,1963,1039639740,
Australia,AUS,1964,1054036740,
Australia,AUS,1965,1217696100,
Australia,AUS,1966,1312837500,
Australia,AUS,1967,1545242200,
Australia,AUS,1968,1484232000,
Australia,AUS,1969,1650966000,
Australia,AUS,1970,1787921500,
Australia,AUS,1971,1679199100,
Australia,AUS,1972,1932812800,
Australia,AUS,1973,1542871900,
Australia,AUS,1974,1859652700,
Australia,AUS,1975,2281251300,
Australia,AUS,1976,1481568100,
Australia,AUS,1977,1579162900,
Australia,AUS,1978,2079507100,
Australia,AUS,1979,2078901600,
Australia,AUS,1980,1969970700,
Australia,AUS,1981,1730000500,
Australia,AUS,1982,2377778400,
Australia,AUS,1983,2105027800,
Australia,AUS,1984,2106966000,
Australia,AUS,1985,2410433500,
Australia,AUS,1986,2367487200,
Australia,AUS,1987,1765864200,
Australia,AUS,1988,2564386600,
Australia,AUS,1989,2175055400,
Australia,AUS,1990,1969085700,
Australia,AUS,1991,2123748100,
Australia,AUS,1992,2162664700,
Australia,AUS,1993,2171787300,
Australia,AUS,1994,2282385000,
Australia,AUS,1995,2393542700,
Australia,AUS,1996,1996566800,
Australia,AUS,1997,2053073800,
Australia,AUS,1998,2185627100,
Australia,AUS,1999,2148137200,
Australia,AUS,2000,2308581400,
Australia,AUS,2001,2211345700,
Australia,AUS,2002,2314069000,
Australia,AUS,2003,2320434200,
Australia,AUS,2004,2365292300,
Australia,AUS,2005,2512573000,
Australia,AUS,2006,3059401700,
Australia,AUS,2007,3313650700,
Australia,AUS,2008,3496924700,
Australia,AUS,2009,3443121200,
Australia,AUS,2010,3852435200,
Australia,AUS,2011,4259211500,
Australia,AUS,2012,4635122000,
Australia,AUS,2013,4402879000,
Australia,AUS,2014,4250250000,
Australia,AUS,2015,4094078200,
Australia,AUS,2016,3847217000,
Australia,AUS,2017,3338509000,
Australia,AUS,2018,3472117500,
Australia,AUS,2019,3311431000,
Australia,AUS,2020,3281506600,
Australia,AUS,2021,3516432600,
Australia,AUS,2022,3054507800,
Australia,AUS,2023,3250510000,
Australia,AUS,2024,3592256000,
Austria,AUT,1960,1565877,
Austria,AUT,1961,43264956,
Austria,AUT,1962,32917716,
Austria,AUT,1963,58078964,
Austria,AUT,1964,88436110,
Austria,AUT,1965,138115490,
Austria,AUT,1966,154190220,
Austria,AUT,1967,179068180,
Austria,AUT,1968,189206260,
Austria,AUT,1969,159774540,
Austria,AUT,1970,111728510,
Austria,AUT,1971,117269320,
Austria,AUT,1972,146407520,
Austria,AUT,1973,259823300,
Austria,AUT,1974,335954300,
Austria,AUT,1975,390186300,
Austria,AUT,1976,239261470,
Austria,AUT,1977,455584450,
Austria,AUT,1978,537844900,
Austria,AUT,1979,405117150,
Austria,AUT,1980,502798400,
Austria,AUT,1981,716549900,
Austria,AUT,1982,780699800,
Austria,AUT,1983,531821540,
Austria,AUT,1984,648252200,
Austria,AUT,1985,893155460,
Austria,AUT,1986,509411500,
Austria,AUT,1987,418886620,
Austria,AUT,1988,603858370,
Austria,AUT,1989,589095700,
Austria,AUT,1990,292412300,
Austria,AUT,1991,506932480,
Austria,AUT,1992,320100300,
Austria,AUT,1993,332890200,
Austria,AUT,1994,500259900,
Austria,AUT,1995,831706900,
Austria,AUT,1996,734077760,
Austria,AUT,1997,785449700,
Austria,AUT,1998,735721150,
Austria,AUT,1999,821349760,
Austria,AUT,2000,836679400,
Austria,AUT,2001,1215889900,
Austria,AUT,2002,939136400,
Austria,AUT,2003,750574100,
Austria,AUT,2004,901216700,
Austria,AUT,2005,2039972400,
Austria,AUT,2006,1885605800,
Austria,AUT,2007,2040841600,
Austria,AUT,2008,1801255400,
Austria,AUT,2009,1221993500,
Austria,AUT,2010,1347452200,
Austria,AUT,2011,1159229700,
Austria,AUT,2012,1222795500,
Austria,AUT,2013,1233312900,
Austria,AUT,2014,1275436900,
Austria,AUT,2015,1599569800,
Austria,AUT,2016,1947658400,
Austria,AUT,2017,1447540900,
Austria,AUT,2018,1265187500,
Austria,AUT,2019,1384100100,
Austria,AUT,2020,1427209900,
Austria,AUT,2021,1524152000,
Austria,AUT,2022,2013136900,
Austria,AUT,2023,1830620000,
Austria,AUT,2024,1683329500,
Azerbaijan,AZE,2014,16529703,
Azerbaijan,AZE,2015,14929137,
Azerbaijan,AZE,2016,15629348,
Azerbaijan,AZE,2017,21404832,
Azerbaijan,AZE,2018,31022994,
Azerbaijan,AZE,2019,28862094,
Azerbaijan,AZE,2020,47900100,
Azerbaijan,AZE,2022,46107068,
Azerbaijan,AZE,2023,102450104,
Azerbaijan,AZE,2024,59446540,
Belgium,BEL,1960,1121281800,
Belgium,BEL,1961,1011785700,
Belgium,BEL,1962,752925500,
Belgium,BEL,1963,836107600,
Belgium,BEL,1964,713034940,
Belgium,BEL,1965,963374400,
Belgium,BEL,1966,695835400,
Belgium,BEL,1967,784265660,
Belgium,BEL,1968,761387600,
Belgium,BEL,1969,969210600,
Belgium,BEL,1970,944676900,
Belgium,BEL,1971,1069253600,
Belgium,BEL,1972,1203695400,
Belgium,BEL,1973,1209550600,
Belgium,BEL,1974,1242385800,
Belgium,BEL,1975,1455263400,
Belgium,BEL,1976,1278595200,
Belgium,BEL,1977,1204606300,
Belgium,BEL,1978,1465069600,
Belgium,BEL,1979,1564129400,
Belgium,BEL,1980,1387804000,
Belgium,BEL,1981,1618685600,
Belgium,BEL,1982,1608709900,
Belgium,BEL,1983,1636172400,
Belgium,BEL,1984,1632353700,
Belgium,BEL,1985,1583751700,
Belgium,BEL,1986,1437997400,
Belgium,BEL,1987,1485958000,
Belgium,BEL,1988,1251947400,
Belgium,BEL,1989,1498596000,
Belgium,BEL,1990,1563466100,
Belgium,BEL,1991,1451509900,
Belgium,BEL,1992,1382596400,
Belgium,BEL,1993,1330724500,
Belgium,BEL,1994,1133400000,
Belgium,BEL,1995,1402963500,
Belgium,BEL,1996,1295173900,
Belgium,BEL,1997,1240974200,
Belgium,BEL,1998,1429921900,
Belgium,BEL,1999,1276286300,
Belgium,BEL,2000,1560409000,
Belgium,BEL,2001,1666083700,
Belgium,BEL,2002,1924546200,
Belgium,BEL,2003,2726110700,
Belgium,BEL,2004,1920534100,
Belgium,BEL,2005,2523306800,
Belgium,BEL,2006,2460099300,
Belgium,BEL,2007,2183563300,
Belgium,BEL,2008,2486963500,
Belgium,BEL,2009,2795887000,
Belgium,BEL,2010,3327081200,
Belgium,BEL,2011,2895598800,
Belgium,BEL,2012,2527037700,
Belgium,BEL,2013,2396008000,
Belgium,BEL,2014,2529707000,
Belgium,BEL,2015,2329231400,
Belgium,BEL,2016,2769828900,
Belgium,BEL,2017,2543856400,
Belgium,BEL,2018,2553812200,
Belgium,BEL,2019,2485475800,
Belgium,BEL,2020,2586817500,
Belgium,BEL,2021,2704761000,
Belgium,BEL,2022,2887869400,
Belgium,BEL,2023,2865670000,
Belgium,BEL,2024,3181396500,
Bezos Earth Fund,,2020,334519170,
Bezos Earth Fund,,2021,365549380,
Bezos Earth Fund,,2022,176019470,
Bezos Earth Fund,,2023,51025400,
Bloomberg Family Foundation,,2017,221041980,
Bloomberg Family Foundation,,2018,254288600,
Bloomberg Family Foundation,,2019,168078990,
Bloomberg Family Foundation,,2020,225011630,
Bloomberg Family Foundation,,2021,306891230,
Bloomberg Family Foundation,,2022,401856480,
Bloomberg Family Foundation,,2023,144361730,
Bloomberg Family Foundation,,2024,160044720,
Bulgaria,BGR,2010,61463890,
Bulgaria,BGR,2011,65929224,
Bulgaria,BGR,2012,58298140,
Bulgaria,BGR,2013,70071656,
Bulgaria,BGR,2014,67779790,
Bulgaria,BGR,2015,66216972,
Bulgaria,BGR,2016,106282616,
Bulgaria,BGR,2017,91539610,
Bulgaria,BGR,2018,92258480,
Bulgaria,BGR,2019,88247680,
Bulgaria,BGR,2020,108904104,
Bulgaria,BGR,2021,104368930,
Bulgaria,BGR,2022,258116030,
Bulgaria,BGR,2023,169758820,
Bulgaria,BGR,2024,133828504,
CGIAR,,2022,86829370,
CGIAR,,2023,83863000,
CGIAR,,2024,73311256,
Canada,CAN,1960,516835940,
Canada,CAN,1961,500706600,
Canada,CAN,1962,358564400,
Canada,CAN,1963,548990000,
Canada,CAN,1964,643846140,
Canada,CAN,1965,768214460,
Canada,CAN,1966,1460688600,
Canada,CAN,1967,1413955000,
Canada,CAN,1968,1353805600,
Canada,CAN,1969,1430944900,
Canada,CAN,1970,2073475800,
Canada,CAN,1971,2211224300,
Canada,CAN,1972,2462733600,
Canada,CAN,1973,2491357400,
Canada,CAN,1974,2942116900,
Canada,CAN,1975,3395750100,
Canada,CAN,1976,3034483200,
Canada,CAN,1977,3429502000,
Canada,CAN,1978,3683942700,
Canada,CAN,1979,3424777500,
Canada,CAN,1980,3170641700,
Canada,CAN,1981,3256718300,
Canada,CAN,1982,3099528200,
Canada,CAN,1983,3495792600,
Canada,CAN,1984,4032994000,
Canada,CAN,1985,4131864800,
Canada,CAN,1986,4235424800,
Canada,CAN,1987,4290578200,
Canada,CAN,1988,4742627000,
Canada,CAN,1989,4308483600,
Canada,CAN,1990,4373503500,
Canada,CAN,1991,4393485300,
Canada,CAN,1992,4411509000,
Canada,CAN,1993,4434742300,
Canada,CAN,1994,4338257000,
Canada,CAN,1995,3916090000,
Canada,CAN,1996,3324931300,
Canada,CAN,1997,3801531100,
Canada,CAN,1998,3404901000,
Canada,CAN,1999,3344448800,
Canada,CAN,2000,3273479200,
Canada,CAN,2001,2953795600,
Canada,CAN,2002,3867507700,
Canada,CAN,2003,3384499500,
Canada,CAN,2004,3898642200,
Canada,CAN,2005,5088655400,
Canada,CAN,2006,4553726500,
Canada,CAN,2007,4624630000,
Canada,CAN,2008,5231163000,
Canada,CAN,2009,4741066000,
Canada,CAN,2010,5425331700,
Canada,CAN,2011,5281725000,
Canada,CAN,2012,5456569000,
Canada,CAN,2013,4841589000,
Canada,CAN,2014,4364829700,
Canada,CAN,2015,5139649000,
Canada,CAN,2016,4862088000,
Canada,CAN,2017,5084880000,
Canada,CAN,2018,5383962000,
Canada,CAN,2019,5304403000,
Canada,CAN,2020,5697805000,
Canada,CAN,2021,6354389500,
Canada,CAN,2022,9084281000,
Canada,CAN,2023,9077930000,
Canada,CAN,2024,8312565000,
Caribbean Development Bank,,1973,3666956,
Caribbean Development Bank,,1974,13330334,
Caribbean Development Bank,,1975,63062450,
Caribbean Development Bank,,1976,38302850,
Caribbean Development Bank,,1977,42855310,
Caribbean Development Bank,,1978,61397644,
Caribbean Development Bank,,1979,69680680,
Caribbean Development Bank,,1980,108755064,
Caribbean Development Bank,,1981,100861400,
Caribbean Development Bank,,1982,96244430,
Caribbean Development Bank,,1983,81640840,
Caribbean Development Bank,,1984,43268096,
Caribbean Development Bank,,1985,54985116,
Caribbean Development Bank,,1986,55153452,
Caribbean Development Bank,,1987,68245720,
Caribbean Development Bank,,1988,59512612,
Caribbean Development Bank,,1989,68125496,
Caribbean Development Bank,,1990,62121908,
Caribbean Development Bank,,1991,38310796,
Caribbean Development Bank,,1992,35604292,
Caribbean Development Bank,,1993,24909196,
Caribbean Development Bank,,1994,34877460,
Caribbean Development Bank,,1995,-30191568,
Caribbean Development Bank,,1996,762324,
Caribbean Development Bank,,1997,433434,
Caribbean Development Bank,,1998,4539196,
Caribbean Development Bank,,1999,16929040,
Caribbean Development Bank,,2000,29874702,
Caribbean Development Bank,,2001,50764324,
Caribbean Development Bank,,2002,96849460,
Caribbean Development Bank,,2003,33663510,
Caribbean Development Bank,,2004,46500092,
Caribbean Development Bank,,2005,34329304,
Caribbean Development Bank,,2006,38090756,
Caribbean Development Bank,,2007,45524004,
Caribbean Development Bank,,2008,68214160,
Caribbean Development Bank,,2009,74814170,
Caribbean Development Bank,,2010,60287388,
Caribbean Development Bank,,2011,39839530,
Caribbean Development Bank,,2012,44359836,
Caribbean Development Bank,,2013,67555970,
Caribbean Development Bank,,2014,90320050,
Caribbean Development Bank,,2015,33393532,
Caribbean Development Bank,,2016,-27948020,
Caribbean Development Bank,,2017,5649941,
Caribbean Development Bank,,2018,19641078,
Caribbean Development Bank,,2019,200737220,
Caribbean Development Bank,,2020,171328670,
Caribbean Development Bank,,2021,125021210,
Caribbean Development Bank,,2022,8042881,
Caribbean Development Bank,,2023,16060942,
Caribbean Development Bank,,2024,11082752,
Carnegie Corporation of New York,,2017,29541486,
Carnegie Corporation of New York,,2018,22074996,
Carnegie Corporation of New York,,2019,28181424,
Carnegie Corporation of New York,,2020,22966680,
Carnegie Corporation of New York,,2021,16131586,
Carnegie Corporation of New York,,2022,24470046,
Center of Excellence in Finance,,2016,1029538.06,
Center of Excellence in Finance,,2017,1027859,
Center of Excellence in Finance,,2018,1291042,
Center of Excellence in Finance,,2019,1245068,
Center of Excellence in Finance,,2020,1229991,
Center of Excellence in Finance,,2021,1203103,
Center of Excellence in Finance,,2022,1102186,
Center of Excellence in Finance,,2023,1081315,
Center of Excellence in Finance,,2024,1378071,
Central American Bank for Economic Integration,,2020,514795520,
Central American Bank for Economic Integration,,2021,304354940,
Central American Bank for Economic Integration,,2022,1285354200,
Central American Bank for Economic Integration,,2023,935898700,
Central American Bank for Economic Integration,,2024,501459170,
Central Emergency Response Fund,,2017,476660640,
Central Emergency Response Fund,,2018,547505800,
Central Emergency Response Fund,,2019,598007040,
Central Emergency Response Fund,,2020,915413250,
Central Emergency Response Fund,,2021,557554100,
Central Emergency Response Fund,,2022,769962750,
Central Emergency Response Fund,,2023,667927550,
Central Emergency Response Fund,,2024,562672830,
Children's Investment Fund Foundation,,2017,243929710,
Children's Investment Fund Foundation,,2018,261958320,
Children's Investment Fund Foundation,,2019,307518050,
Children's Investment Fund Foundation,,2020,388471650,
Children's Investment Fund Foundation,,2021,356886530,
Children's Investment Fund Foundation,,2022,429942340,
Children's Investment Fund Foundation,,2023,402463330,
Citi Foundation,,2017,30420388,
Citi Foundation,,2018,33033482,
Citi Foundation,,2019,31656330,
Citi Foundation,,2020,34165696,
Citi Foundation,,2021,21651210,
Climate Investment Funds,,2013,157227280,
Climate Investment Funds,,2014,364518300,
Climate Investment Funds,,2015,472948960,
Climate Investment Funds,,2016,59719004,
Climate Investment Funds,,2017,390281730,
Climate Investment Funds,,2018,444368740,
Climate Investment Funds,,2019,74103040,
Climate Investment Funds,,2020,647681100,
Climate Investment Funds,,2021,221955300,
Climate Investment Funds,,2022,233411570,
Climate Investment Funds,,2023,367477000,
Climate Investment Funds,,2024,352159070,
Comic Relief,,2013,45691068,
Comic Relief,,2014,67476540,
Comic Relief,,2015,70771160,
Comic Relief,,2016,52732530,
Comic Relief,,2017,59581096,
Comic Relief,,2018,40773830,
Comic Relief,,2019,53269348,
Comic Relief,,2020,29435452,
Comic Relief,,2021,24714944,
Conrad N. Hilton Foundation,,2013,47808530,
Conrad N. Hilton Foundation,,2014,51715148,
Conrad N. Hilton Foundation,,2015,56078250,
Conrad N. Hilton Foundation,,2016,55000210,
Conrad N. Hilton Foundation,,2017,61848920,
Conrad N. Hilton Foundation,,2018,55479750,
Conrad N. Hilton Foundation,,2019,49689384,
Conrad N. Hilton Foundation,,2020,77941650,
Conrad N. Hilton Foundation,,2021,152839420,
Conrad N. Hilton Foundation,,2022,207754850,
Conrad N. Hilton Foundation,,2023,-50264708,
Conrad N. Hilton Foundation,,2024,105464670,
Council of Europe Development Bank,,2011,135441550,
Council of Europe Development Bank,,2012,97613760,
Council of Europe Development Bank,,2013,122243030,
Council of Europe Development Bank,,2014,71613864,
Council of Europe Development Bank,,2015,49204024,
Council of Europe Development Bank,,2016,96871770,
Council of Europe Development Bank,,2017,71059010,
Council of Europe Development Bank,,2018,7304511,
Council of Europe Development Bank,,2019,46118824,
Council of Europe Development Bank,,2020,-10186186,
Council of Europe Development Bank,,2021,-6837136,
Council of Europe Development Bank,,2022,-49855684,
Council of Europe Development Bank,,2023,-54126464,
Council of Europe Development Bank,,2024,-52271616,
Croatia,HRV,2012,23743280,
Croatia,HRV,2013,48159590,
Croatia,HRV,2014,76968470,
Croatia,HRV,2015,65571170,
Croatia,HRV,2016,51974852,
Croatia,HRV,2017,66468680,
Croatia,HRV,2018,91551960,
Croatia,HRV,2019,87108990,
Croatia,HRV,2020,90009830,
Croatia,HRV,2021,96860890,
Croatia,HRV,2022,158803360,
Croatia,HRV,2023,178196400,
Croatia,HRV,2024,211325600,
Cyprus,CYP,2005,18653200,
Cyprus,CYP,2006,31128186,
Cyprus,CYP,2007,38851900,
Cyprus,CYP,2008,39843024,
Cyprus,CYP,2009,50192344,
Cyprus,CYP,2010,55865732,
Cyprus,CYP,2011,38747470,
Cyprus,CYP,2012,26457664,
Cyprus,CYP,2013,21224440,
Cyprus,CYP,2014,19267306,
Cyprus,CYP,2015,21011380,
Cyprus,CYP,2018,27347490,
Cyprus,CYP,2019,22211022,
Cyprus,CYP,2020,16006275,
Cyprus,CYP,2021,20803630,
Cyprus,CYP,2022,14364272,
Cyprus,CYP,2023,11742680,
Cyprus,CYP,2024,12619818,
Czechia,CZE,1993,81948860,
Czechia,CZE,1994,92006540,
Czechia,CZE,1998,45806964,
Czechia,CZE,1999,43593990,
Czechia,CZE,2000,52240310,
Czechia,CZE,2001,80305950,
Czechia,CZE,2002,115346904,
Czechia,CZE,2003,194816080,
Czechia,CZE,2004,204512830,
Czechia,CZE,2005,237669390,
Czechia,CZE,2006,264915280,
Czechia,CZE,2007,255527840,
Czechia,CZE,2008,298307520,
Czechia,CZE,2009,274067420,
Czechia,CZE,2010,293282100,
Czechia,CZE,2011,299630750,
Czechia,CZE,2012,286653540,
Czechia,CZE,2013,272053400,
Czechia,CZE,2014,282821470,
Czechia,CZE,2015,310460200,
Czechia,CZE,2016,397565440,
Czechia,CZE,2017,437212500,
Czechia,CZE,2018,396756700,
Czechia,CZE,2019,408280100,
Czechia,CZE,2020,382558080,
Czechia,CZE,2021,420375330,
Czechia,CZE,2022,1196193300,
Czechia,CZE,2023,809020000,
Czechia,CZE,2024,552882000,
